statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;DLAND;Bundesländer;13;Mecklenburg-Vorpommern;GES;Geschlecht;GESM;männlich;ALT103;Altersjahre (u1-90m);ALT026;26-Jährige;6883;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;DLAND;Bundesländer;12;Brandenburg;GES;Geschlecht;GESM;männlich;ALT103;Altersjahre (u1-90m);ALT018;18-Jährige;11627;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;DLAND;Bundesländer;09;Bayern;GES;Geschlecht;GESM;männlich;ALT103;Altersjahre (u1-90m);ALT070;70-Jährige;63564;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;DLAND;Bundesländer;05;Nordrhein-Westfalen;GES;Geschlecht;GESM;männlich;ALT103;Altersjahre (u1-90m);ALT054;54-Jährige;139669;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;DLAND;Bundesländer;03;Niedersachsen;GES;Geschlecht;;Insgesamt;ALT103;Altersjahre (u1-90m);ALT087;87-Jährige;39320;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;DLAND;Bundesländer;04;Bremen;GES;Geschlecht;GESM;männlich;ALT103;Altersjahre (u1-90m);ALT041;41-Jährige;4599;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;DLAND;Bundesländer;16;Thüringen;GES;Geschlecht;GESM;männlich;ALT103;Altersjahre (u1-90m);ALT034;34-Jährige;13576;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;DLAND;Bundesländer;14;Sachsen;GES;Geschlecht;GESM;männlich;ALT103;Altersjahre (u1-90m);ALT039;39-Jährige;28377;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;DLAND;Bundesländer;02;Hamburg;GES;Geschlecht;GESM;männlich;ALT103;Altersjahre (u1-90m);ALT046;46-Jährige;12233;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;DLAND;Bundesländer;06;Hessen;GES;Geschlecht;GESM;männlich;ALT103;Altersjahre (u1-90m);ALT066;66-Jährige;37489;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;DLAND;Bundesländer;01;Schleswig-Holstein;GES;Geschlecht;GESM;männlich;ALT103;Altersjahre (u1-90m);ALT036;36-Jährige;18891;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;DLAND;Bundesländer;16;Thüringen;GES;Geschlecht;;Insgesamt;ALT103;Altersjahre (u1-90m);ALT051;51-Jährige;26351;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;DLAND;Bundesländer;07;Rheinland-Pfalz;GES;Geschlecht;GESM;männlich;ALT103;Altersjahre (u1-90m);ALT077;77-Jährige;12819;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;DLAND;Bundesländer;08;Baden-Württemberg;GES;Geschlecht;GESM;männlich;ALT103;Altersjahre (u1-90m);ALT062;62-Jährige;82160;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;DLAND;Bundesländer;11;Berlin;GES;Geschlecht;;Insgesamt;ALT103;Altersjahre (u1-90m);ALT024;24-Jährige;46173;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;DLAND;Bundesländer;10;Saarland;GES;Geschlecht;GESM;männlich;ALT103;Altersjahre (u1-90m);ALT018;18-Jährige;4821;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;DLAND;Bundesländer;03;Niedersachsen;GES;Geschlecht;GESM;männlich;ALT103;Altersjahre (u1-90m);ALT054;54-Jährige;62891;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;DLAND;Bundesländer;12;Brandenburg;GES;Geschlecht;GESM;männlich;ALT103;Altersjahre (u1-90m);ALT014;14-Jährige;12218;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;DLAND;Bundesländer;05;Nordrhein-Westfalen;GES;Geschlecht;GESM;männlich;ALT103;Altersjahre (u1-90m);ALT051;51-Jährige;111416;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;DLAND;Bundesländer;13;Mecklenburg-Vorpommern;GES;Geschlecht;GESM;männlich;ALT103;Altersjahre (u1-90m);ALT029;29-Jährige;5418;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;DLAND;Bundesländer;01;Schleswig-Holstein;GES;Geschlecht;;Insgesamt;ALT103;Altersjahre (u1-90m);ALT072;72-Jährige;31518;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;DLAND;Bundesländer;08;Baden-Württemberg;GES;Geschlecht;GESM;männlich;ALT103;Altersjahre (u1-90m);ALT063;63-Jährige;78519;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;DLAND;Bundesländer;02;Hamburg;GES;Geschlecht;GESM;männlich;ALT103;Altersjahre (u1-90m);ALT047;47-Jährige;12009;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;DLAND;Bundesländer;03;Niedersachsen;GES;Geschlecht;;Insgesamt;ALT103;Altersjahre (u1-90m);ALT088;88-Jährige;33214;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;DLAND;Bundesländer;16;Thüringen;GES;Geschlecht;GESM;männlich;ALT103;Altersjahre (u1-90m);ALT033;33-Jährige;13406;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;DLAND;Bundesländer;04;Bremen;GES;Geschlecht;GESM;männlich;ALT103;Altersjahre (u1-90m);ALT040;40-Jährige;4607;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;DLAND;Bundesländer;11;Berlin;GES;Geschlecht;GESM;männlich;ALT103;Altersjahre (u1-90m);ALT028;28-Jährige;27637;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;DLAND;Bundesländer;16;Thüringen;GES;Geschlecht;;Insgesamt;ALT103;Altersjahre (u1-90m);ALT052;52-Jährige;29599;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;DLAND;Bundesländer;01;Schleswig-Holstein;GES;Geschlecht;GESM;männlich;ALT103;Altersjahre (u1-90m);ALT035;35-Jährige;19423;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;DLAND;Bundesländer;11;Berlin;GES;Geschlecht;;Insgesamt;ALT103;Altersjahre (u1-90m);ALT023;23-Jährige;43493;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;DLAND;Bundesländer;10;Saarland;GES;Geschlecht;GESM;männlich;ALT103;Altersjahre (u1-90m);ALT017;17-Jährige;4676;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;DLAND;Bundesländer;07;Rheinland-Pfalz;GES;Geschlecht;GESM;männlich;ALT103;Altersjahre (u1-90m);ALT078;78-Jährige;10184;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;DLAND;Bundesländer;03;Niedersachsen;GES;Geschlecht;GESM;männlich;ALT103;Altersjahre (u1-90m);ALT053;53-Jährige;57603;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;DLAND;Bundesländer;12;Brandenburg;GES;Geschlecht;GESM;männlich;ALT103;Altersjahre (u1-90m);ALT015;15-Jährige;12586;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;DLAND;Bundesländer;06;Hessen;GES;Geschlecht;GESM;männlich;ALT103;Altersjahre (u1-90m);ALT065;65-Jährige;38871;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;DLAND;Bundesländer;13;Mecklenburg-Vorpommern;GES;Geschlecht;GESM;männlich;ALT103;Altersjahre (u1-90m);ALT028;28-Jährige;5659;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;DLAND;Bundesländer;08;Baden-Württemberg;GES;Geschlecht;GESM;männlich;ALT103;Altersjahre (u1-90m);ALT064;64-Jährige;74709;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;DLAND;Bundesländer;01;Schleswig-Holstein;GES;Geschlecht;;Insgesamt;ALT103;Altersjahre (u1-90m);ALT071;71-Jährige;31869;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;DLAND;Bundesländer;10;Saarland;GES;Geschlecht;GESM;männlich;ALT103;Altersjahre (u1-90m);ALT016;16-Jährige;4531;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;DLAND;Bundesländer;05;Nordrhein-Westfalen;GES;Geschlecht;GESM;männlich;ALT103;Altersjahre (u1-90m);ALT052;52-Jährige;122278;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;DLAND;Bundesländer;02;Hamburg;GES;Geschlecht;GESM;männlich;ALT103;Altersjahre (u1-90m);ALT048;48-Jährige;11516;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;DLAND;Bundesländer;11;Berlin;GES;Geschlecht;GESM;männlich;ALT103;Altersjahre (u1-90m);ALT029;29-Jährige;28198;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;DLAND;Bundesländer;16;Thüringen;GES;Geschlecht;;Insgesamt;ALT103;Altersjahre (u1-90m);ALT053;53-Jährige;30056;Anzahl;BEVSTD;Bevölkerungsstand;e
